City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,baracoa,CU,80.65,scattered clouds,20.3467,-74.4958,Hostal Rio Miel
2,galesong,ID,78.82,overcast clouds,-5.3166,119.3661,Sapriadi Appy
5,neiafu,TO,77.68,light intensity shower rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
9,buala,SB,85.48,scattered clouds,-8.145,159.5921,Maringe Lagoon Lodge
12,marsh harbour,BS,80.49,few clouds,26.5412,-77.0636,Abaco Beach Resort
17,cayenne,GF,78.84,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
18,poso,ID,82.13,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
24,avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
28,hilo,US,86.25,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
32,labuan,MY,81.23,overcast clouds,5.2767,115.2417,Tiara Labuan Hotel
33,nileshwar,IN,77.54,overcast clouds,12.25,75.1,Neeleshwar Hermitage
35,nara,JP,77.5,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
37,say,NE,84.72,broken clouds,13.1007,2.3689,
47,atar,MR,89.82,few clouds,20.5169,-13.0499,Oumou Elghoura
51,mitchell,US,77.11,clear sky,43.7094,-98.0298,Kelly Inn & Suites
56,lagunas,PE,78.57,light rain,-5.2269,-75.6753,Hospedaje Eco
57,vaitape,PF,78.89,scattered clouds,-16.5167,-151.75,Conrad Bora Bora Nui
69,san patricio,US,80.69,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
93,kapaa,US,81.19,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
95,acapulco,MX,84.02,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
103,adrar,MR,89.1,light rain,20.5022,-10.0711,
105,eydhafushi,MV,80.13,overcast clouds,5.1033,73.0708,Soneva Fushi
108,champerico,GT,81.14,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
110,vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
119,georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
127,morros,BR,87.46,scattered clouds,-9.4467,-46.3003,
131,faanui,PF,78.91,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
142,butaritari,KI,82.72,broken clouds,3.0707,172.7902,Isles Sunset Lodge
143,bondowoso,ID,77.88,overcast clouds,-7.9135,113.8214,Anugerah Hotel Bondowoso
161,shaoguan,CN,81.86,clear sky,24.8,113.5833,Shangcheng Hotel
163,salalah,OM,80.69,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
