City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,baracoa,CU,20.3467,-74.4958,80.65,78,50,4.68,scattered clouds
1,aktau,KZ,43.65,51.2,57.78,26,61,26.11,broken clouds
2,galesong,ID,-5.3166,119.3661,78.82,74,92,3.8,overcast clouds
3,hermanus,ZA,-34.4187,19.2345,57.33,80,5,12.19,clear sky
4,bud,US,39.447,-86.1758,65.68,54,0,8.84,clear sky
5,neiafu,TO,-18.65,-173.9833,77.68,88,75,10.36,light intensity shower rain
6,paita,PE,-5.0892,-81.1144,63.72,86,58,14.56,broken clouds
7,ushuaia,AR,-54.8,-68.3,44.26,61,0,6.91,clear sky
8,antofagasta,CL,-23.65,-70.4,58.28,75,46,4.83,scattered clouds
9,buala,SB,-8.145,159.5921,85.48,68,36,4.94,scattered clouds
10,bethel,US,41.3712,-73.414,53.49,55,98,4.0,overcast clouds
11,buta,CD,2.7858,24.73,69.03,100,100,0.85,moderate rain
12,marsh harbour,BS,26.5412,-77.0636,80.49,76,23,10.8,few clouds
13,arraial do cabo,BR,-22.9661,-42.0278,69.66,94,75,9.22,broken clouds
14,saint-francois,FR,46.4154,3.9054,58.44,94,75,4.61,broken clouds
15,te anau,NZ,-45.4167,167.7167,46.15,84,89,3.85,overcast clouds
16,tuatapere,NZ,-46.1333,167.6833,48.16,66,99,13.2,overcast clouds
17,cayenne,GF,4.9333,-52.3333,78.84,89,20,0.0,few clouds
18,poso,ID,-1.3959,120.7524,82.13,70,86,0.81,overcast clouds
19,bluff,NZ,-46.6,168.3333,47.8,53,95,20.67,overcast clouds
20,masty,BY,53.4122,24.5387,46.08,96,100,11.03,overcast clouds
21,lasa,IT,46.6166,10.7002,46.36,96,36,7.4,scattered clouds
22,thompson,CA,55.7435,-97.8558,69.96,40,40,17.27,scattered clouds
23,nenjiang,CN,49.1833,125.2167,40.69,59,100,9.19,overcast clouds
24,avarua,CK,-21.2078,-159.775,77.05,61,20,19.57,few clouds
25,punta arenas,CL,-53.15,-70.9167,42.91,70,0,9.22,clear sky
26,luderitz,NA,-26.6481,15.1594,58.12,75,0,14.7,clear sky
27,zunyi,CN,27.6867,106.9072,71.26,79,93,6.55,overcast clouds
28,hilo,US,19.7297,-155.09,86.25,83,2,5.01,clear sky
29,rikitea,PF,-23.1203,-134.9692,75.13,62,7,4.65,clear sky
30,nyurba,RU,63.2842,118.3319,26.69,90,89,4.99,overcast clouds
31,barrow,US,71.2906,-156.7887,28.42,74,40,17.27,haze
32,labuan,MY,5.2767,115.2417,81.23,79,93,9.62,overcast clouds
33,nileshwar,IN,12.25,75.1,77.54,88,100,6.78,overcast clouds
34,cape town,ZA,-33.9258,18.4232,59.88,85,40,5.75,scattered clouds
35,nara,JP,34.6851,135.8049,77.5,47,95,3.78,overcast clouds
36,zhob,PK,31.3411,69.4481,68.74,48,0,2.26,clear sky
37,say,NE,13.1007,2.3689,84.72,61,73,6.04,broken clouds
38,port alfred,ZA,-33.5906,26.891,61.18,98,8,1.99,clear sky
39,harper,LR,4.375,-7.7169,75.79,90,98,7.25,light rain
40,new norfolk,AU,-42.7826,147.0587,56.71,63,99,1.01,overcast clouds
41,belmonte,BR,-15.8631,-38.8828,74.03,90,19,6.51,few clouds
42,southbridge,US,42.0751,-72.0334,49.68,69,93,7.0,overcast clouds
43,tuktoyaktuk,CA,69.4541,-133.0374,26.6,80,100,4.61,overcast clouds
44,ayan,RU,56.45,138.1667,39.43,53,51,15.88,broken clouds
45,farah,AF,32.5,62.5,59.61,27,0,4.34,clear sky
46,bredasdorp,ZA,-34.5322,20.0403,52.14,93,30,6.13,scattered clouds
47,atar,MR,20.5169,-13.0499,89.82,24,17,5.03,few clouds
48,port macquarie,AU,-31.4333,152.9167,64.89,61,4,7.31,clear sky
49,yellowknife,CA,62.456,-114.3525,46.56,63,77,18.01,broken clouds
50,bengkulu,ID,-3.8004,102.2655,75.2,91,99,4.81,light rain
51,mitchell,US,43.7094,-98.0298,77.11,25,0,11.5,clear sky
52,russell,US,32.3502,-85.1999,74.8,53,0,4.61,clear sky
